"student_id","first_name","last_name","type_id_number","identification_number","date_of_birth","email","address","gender","nationality","country_code","phone_number","program","state_program","current_semester","Number_of_credits_approved","credits_remaining","GPA","enrollment_date","student_status","advisor_id","advisor_name","scholarship","payment_status","academic_standing","course_load","marital_status","library_books_borrowed"
"STU000017","Jessica","Cowan","CC","8933297305","2006-08-13","jessica.cowan@university.edu.co","553 David Points Suite 395, Danielmouth, NE 55707","Female","Venezuela","+58","4107751041","Philosophy","Enrolled","3","62","102","3.895271743980268","2022-04-06","Active","ADV0045","Jay Scott","False","Late","Average","20","Single","2"
"STU000018","Cheryl","Allen","CC","3652802539","2002-09-22","cheryl.allen@university.edu.co","USCGC Randolph, FPO AP 06153","Female","Colombia","+57","3124234739","Music","Enrolled","5","88","83","3.029762228777445","2023-03-02","Active","ADV0026","Dennis Bell","False","Late","Average","19","Single","3"
"STU000019","Sandra","Rivera","CC","20662550","2005-02-16","sandra.rivera@university.edu.co","30944 Lopez Burgs Apt. 832, Denniston, VT 04815","Female","Colombia","+57","3135308986","Data Science","Enrolled","6","126","24","2.5514516110216805","2023-10-16","Active","ADV0012","Jessica Brown","False","Paid","Poor","20","Single","1"
"STU000020","Jeremy","Le","CC","8844184637","2004-07-08","jeremy.le@university.edu.co","361 Perez Camp Suite 684, New Brandon, NJ 75970","Male","Ecuador","+593","9619219652","Electrical Engineering","Suspended","2","26","154","4.220746109053356","2023-07-02","Inactive","ADV0030","Dawn Cole","False","Paid","Good","20","Single","0"
"STU000021","James","Hood","TI","6531856225","2008-07-17","james.hood@university.edu.co","38510 Hunt Viaduct, Elizabethborough, ND 73259","Male","Colombia","+57","3943060020","Electrical Engineering","Enrolled","6","110","70","4.332495388919508","2023-09-19","Active","ADV0036","Paula Sanchez","False","Paid","Good","18","Single","4"
"STU000022","Robert","White","CC","6724372635","2000-07-18","robert.white@university.edu.co","489 Theresa Port, New Sean, MH 49400","Male","Colombia","+57","3257304219","Nursing","Withdrawn","5","86","58","4.09159245011595","2023-02-08","Inactive","ADV0037","Holly Weber","False","Paid","Good","19","Single","5"
"STU000023","Elizabeth","Dillon","CC","7693749060","2001-12-20","elizabeth.dillon@university.edu.co","626 Cynthia Brooks Suite 711, Reneemouth, WA 01779","Female","Colombia","+57","3987341355","Cybersecurity","Enrolled","2","29","141","4.187344592324151","2023-12-03","Active","ADV0009","Corey Allison","False","Paid","Good","20","Single","5"
"STU000024","Natasha","Patel","CC","6526820181","1999-07-04","natasha.patel@university.edu.co","518 Sara Mill Apt. 293, Harrisbury, MD 49423","Female","Colombia","+57","3386307337","Economics","Withdrawn","5","81","59","3.680289255628436","2023-09-07","Inactive","ADV0003","Jacob Spencer","False","Late","Average","19","Single","3"
"STU000025","Jill","Chandler","CC","2242513152","2003-01-04","jill.chandler@university.edu.co","50718 Green Mountain Apt. 949, Farmerstad, DC 44112","Female","Colombia","+57","3290777320","Artificial Intelligence","Enrolled","3","62","111","3.971418780279225","2021-12-18","Active","ADV0029","Robert Murphy","False","Late","Average","16","Single","2"
"STU000026","Aaron","Aguirre","CC","3811753569","2000-04-14","aaron.aguirre@university.edu.co","6088 Stacy Park, Lisaside, NY 84863","Male","Colombia","+57","3833010235","Business Administration","Enrolled","6","100","40","3.6295495577442756","2025-01-07","Active","ADV0043","Brian Rivera","False","Paid","Average","19","Divorced","1"
"STU000027","Michael","Marquez","CC","2271611269","2002-03-23","michael.marquez@university.edu.co","487 Estrada Grove, Jennifermouth, SC 51114","Other","Colombia","+57","3475393472","Biotechnology","Suspended","6","115","31","4.244322677515491","2022-11-22","Inactive","ADV0041","Jeffrey Anderson","False","Late","Good","19","Single","1"
"STU000028","Kimberly","Ramsey","CC","4631518440","2004-07-12","kimberly.ramsey@university.edu.co","5194 Brian Station Apt. 278, North Emilyhaven, OR 99248","Female","Colombia","+57","3730194382","Chemistry","Enrolled","4","75","85","3.8888145608303377","2024-03-18","Active","ADV0016","Jason Galvan","False","Late","Average","17","Single","1"
"STU000029","Ricky","Jones","CC","571330187","2006-10-01","ricky.jones@university.edu.co","PSC 1810, Box 2191, APO AA 77664","Male","Colombia","+57","3406484292","History","Withdrawn","5","108","54","3.7719741949944057","2024-03-31","Inactive","ADV0010","Suzanne Meyer","False","Paid","Average","17","Single","4"
"STU000030","Alex","Ferguson","CC","8313145315","2002-01-07","alex.ferguson@university.edu.co","1909 Christy Cove, New Nancyview, NM 01396","Male","Colombia","+57","3251463963","Biology","Suspended","7","135","45","3.723389331003073","2022-09-03","Inactive","ADV0049","Sarah Butler","False","Pending","Average","16","Single","6"
"STU000031","Brandi","Martin","CC","5763979912","2006-12-02","brandi.martin@university.edu.co","162 Mcintyre Plaza Suite 385, East Brent, AR 27019","Female","Chile","+56","9493588149","Software Engineering","Withdrawn","6","106","51","3.729682406268634","2022-11-16","Inactive","ADV0041","Amber Schultz","False","Late","Average","16","Single","5"
"STU000032","Renee","Perry","CC","7235460599","2005-09-14","renee.perry@university.edu.co","7270 Daniel Gardens, North Stephanieport, SD 88633","Female","Colombia","+57","3363774294","Music","Enrolled","5","78","63","3.9941410578034966","2025-02-16","Active","ADV0011","Anne Bentley","False","Pending","Average","18","Single","2"
"STU000033","Jesse","Wallace","CC","1487662574","2003-04-20","jesse.wallace@university.edu.co","8288 Hannah Neck, East Johnstad, VA 80801","Male","Colombia","+57","3617341745","Biology","Enrolled","6","21","143","2.920365491299278","2021-11-05","Active","ADV0045","Angela Watts","False","Pending","Poor","18","Single","1"
"STU000034","Alexis","Barnes","CC","2902411993","2004-03-22","alexis.barnes@university.edu.co","68560 Gary Drives, Montgomeryhaven, UT 07340","Female","Colombia","+57","3643220506","Cybersecurity","Enrolled","9","158","0","3.3217352939705895","2022-11-10","Active","ADV0048","Kristen Henderson","False","Paid","Average","17","Single","5"
"STU000035","Alexis","Clark","CC","4834151773","2005-10-29","alexis.clark@university.edu.co","4359 Martin Row Suite 382, Port Joshua, ID 64638","Male","Mexico","+52","4713483468","Mechanical Engineering","Enrolled","4","65","93","3.7542123076258407","2024-03-30","Active","ADV0028","Daniel Williams","False","Paid","Average","18","Single","5"
"STU000036","Nicholas","Banks","CC","9594613993","2002-11-25","nicholas.banks@university.edu.co","293 Morrison Ports Suite 403, East Joport, CO 91977","Other","Colombia","+57","3926046104","Chemistry","Enrolled","3","50","92","2.837025740021392","2022-06-06","Active","ADV0035","Jesus Cox","False","Pending","Poor","19","Single","2"
"STU000037","Rachel","Castillo","CC","917683790","2000-01-09","rachel.castillo@university.edu.co","Unit 4652 Box 2854, DPO AE 64231","Female","Colombia","+57","3821146124","Nursing","Withdrawn","6","110","53","3.6420593913683588","2023-07-31","Inactive","ADV0001","John Simmons","False","Paid","Average","19","Single","0"
"STU000038","Jennifer","Lamb","CC","7515503790","2002-03-02","jennifer.lamb@university.edu.co","838 Helen Ramp Apt. 430, Mccoyshire, IN 40643","Female","Colombia","+57","3581191492","Engineering","Suspended","6","104","74","3.103494344391509","2022-01-23","Inactive","ADV0002","Richard Marquez","False","Paid","Average","20","Single","2"
"STU000039","Julie","Webb","CC","414879889","2002-09-27","julie.webb@university.edu.co","165 Nicholas Plains Suite 636, Josephmouth, CT 79802","Female","Colombia","+57","3275450049","Economics","Enrolled","4","71","98","3.9273145503586573","2021-12-18","Active","ADV0028","Mark Holmes","False","Late","Average","18","Single","1"
"STU000040","Richard","Barron","CC","8241069630","2003-05-16","richard.barron@university.edu.co","31444 Davis Station, Ellisside, TX 46277","Male","Colombia","+57","3420662015","Cybersecurity","Enrolled","4","0","148","3.357020834360121","2023-04-16","Active","ADV0012","Heather Mullins","False","Pending","Average","18","Married","5"
"STU000041","Sandra","Moreno","CC","6935379152","2005-11-12","sandra.moreno@university.edu.co","34524 Kim Estate Apt. 528, New Mckenzieland, ID 81130","Female","Colombia","+57","3709276571","Biotechnology","Enrolled","4","70","83","3.287423379324039","2024-09-23","Active","ADV0038","Robert Harris","False","Late","Average","20","Divorced","0"
"STU000042","Amanda","Juarez","CC","4830605509","2007-06-03","amanda.juarez@university.edu.co","7854 Guerrero Lake, New Brianhaven, MN 33885","Female","Colombia","+57","3724270721","Anthropology","Enrolled","2","27","135","3.630844430711471","2023-03-22","Active","ADV0002","Michele Gardner","False","Pending","Average","17","Single","5"
"STU000043","Michael","Turner","CC","3874469795","2000-08-12","michael.turner@university.edu.co","7324 Ryan Track, Port Grantfurt, UT 18343","Male","Colombia","+57","3110984921","Psychology","Enrolled","3","55","111","3.543902107965385","2024-06-29","Active","ADV0044","Chase Bass","False","Paid","Average","18","Single","5"
"STU000044","Jennifer","Nelson","CC","4909545177","2004-08-08","jennifer.nelson@university.edu.co","81529 Diaz View Suite 574, Marshallhaven, WI 31830","Female","Colombia","+57","3363851886","Mechanical Engineering","Enrolled","4","77","80","2.7827690308213935","2023-07-04","Active","ADV0009","Veronica Morgan","False","Late","Poor","15","Single","3"
"STU000045","Brittany","Mann","CC","14984985","2003-04-27","brittany.mann@university.edu.co","26101 Lewis Loop Suite 587, New Melindachester, KY 91956","Female","Colombia","+57","3601829622","Engineering","Enrolled","4","74","95","3.28684395375081","2021-08-14","Active","ADV0022","David Shea","False","Late","Average","19","Single","2"
"STU000046","Craig","Foley","CC","3632653746","2003-01-14","craig.foley@university.edu.co","64462 Audrey Street Suite 077, South Kennethview, UT 75804","Male","Colombia","+57","3288382936","International Relations","Suspended","6","102","50","2.9187262608366846","2022-11-29","Inactive","ADV0003","Tina Huffman","False","Pending","Poor","20","Single","2"
"STU000047","Wyatt","Sherman","CC","5112075940","2007-10-20","wyatt.sherman@university.edu.co","688 Fox Underpass, Jenniferport, TX 80357","Other","Colombia","+57","3988479227","Cybersecurity","Enrolled","3","49","125","2.998552868120888","2024-06-30","Active","ADV0017","Kathleen Murray MD","False","Late","Poor","19","Single","1"
"STU000048","James","Huff","CC","3968746022","2007-02-01","james.huff@university.edu.co","15093 Julia Unions Suite 404, South Troy, IA 08815","Male","Colombia","+57","3528807047","Accounting","Enrolled","4","73","83","3.1563929206649535","2024-11-22","Active","ADV0013","Cynthia Booth","False","Late","Average","20","Single","2"
"STU000049","Derek","Welch","CC","1240829137","2004-01-01","derek.welch@university.edu.co","4220 Holly Street Suite 835, Lake Michaelside, KY 55184","Male","Colombia","+57","3513972952","Graphic Design","Enrolled","3","57","98","4.227945908604575","2024-08-15","Active","ADV0003","Cynthia French","False","Pending","Good","16","Single","2"
"STU000050","Bradley","Conrad","CC","6735830277","2001-06-01","bradley.conrad@university.edu.co","572 Morris Via, Peterborough, NM 37920","Male","Colombia","+57","3184920609","Electrical Engineering","Enrolled","7","123","30","3.2721058642194927","2022-09-09","Active","ADV0002","William Miller","False","Paid","Average","15","Single","1"
"STU000051","Brian","Bowers","TI","5879169564","2008-02-25","brian.bowers@university.edu.co","94929 Douglas Skyway Apt. 464, South Dianestad, DC 27718","Other","Colombia","+57","3472442757","Architecture","Enrolled","5","0","170","3.141115421931186","2021-06-10","Active","ADV0044","Alicia Crawford","False","Late","Average","17","Single","2"
"STU000052","Tina","West","CC","3865784162","2001-05-04","tina.west@university.edu.co","6502 Timothy Cape, Scottview, MH 78032","Other","Colombia","+57","3870713124","Political Science","Enrolled","6","104","75","3.4930869742207573","2021-07-20","Active","ADV0045","Robert Hansen","False","Paid","Average","16","Single","3"
"STU000053","Carrie","Gonzales","CC","6547934505","2004-03-13","carrie.gonzales@university.edu.co","075 Romero Station Apt. 477, Debbiebury, KS 30493","Other","Colombia","+57","3432203741","Data Science","Enrolled","3","63","83","2.7070378361780896","2022-09-28","Active","ADV0004","Brittany Johnson","False","Paid","Poor","20","Single","3"
"STU000054","Kristin","Baker","CC","2585621710","2004-08-01","kristin.baker@university.edu.co","PSC 7928, Box 1769, APO AE 95294","Female","Colombia","+57","3275732973","Accounting","Withdrawn","1","11","163","2.6489267919157866","2023-01-17","Inactive","ADV0044","Tyler Mccarthy","False","Pending","Poor","20","Single","5"
"STU000055","Christopher","Gallagher","CC","372875532","2004-02-01","christopher.gallagher@university.edu.co","4170 Riley Mount Suite 373, New Brittanyland, MI 73721","Male","Colombia","+57","3378309050","Civil Engineering","Enrolled","5","87","69","3.2896048598629077","2024-10-30","Active","ADV0045","Gregory Ayala","False","Paid","Average","20","Single","4"
"STU000056","Lisa","Kelly","CC","3312341378","2001-02-26","lisa.kelly@university.edu.co","076 Powers Cape Suite 045, Amberfurt, ND 47902","Other","Colombia","+57","3782776693","Pharmacy","Enrolled","3","54","104","3.1764333847834534","2021-08-13","Active","ADV0025","Christopher Gordon","False","Pending","Average","17","Single","3"
"STU000057","Samantha","Jackson","CC","4076860944","1999-07-20","samantha.jackson@university.edu.co","USCGC Williams, FPO AE 31500","Female","Colombia","+57","3220098410","Graphic Design","Suspended","4","90","79","4.272124504384553","2024-11-20","Inactive","ADV0006","Peter Goodman","False","Paid","Good","19","Single","0"
"STU000058","Trevor","Wells","CC","9121926903","2000-09-12","trevor.wells@university.edu.co","5207 Erin Land Apt. 654, North Stephanieshire, AZ 35377","Male","Colombia","+57","3467006497","Music","Withdrawn","4","44","108","3.5452528988200895","2023-08-08","Inactive","ADV0039","Dr. Michelle Jennings","False","Pending","Average","17","Single","3"
"STU000059","Collin","Wheeler","CC","4363020306","2002-06-12","collin.wheeler@university.edu.co","80929 Michelle Bridge, East John, WY 67929","Male","Colombia","+57","3111349275","Architecture","Enrolled","4","0","152","3.532852051269252","2022-05-05","Active","ADV0034","David Moyer","False","Paid","Average","19","Single","2"
"STU000060","John","Jones","CC","1389560583","1999-05-30","john.jones@university.edu.co","24704 Murray Vista, New Tammy, OK 96374","Male","Colombia","+57","3276601701","Political Science","Suspended","10","156","19","4.2702298827194864","2024-06-27","Inactive","ADV0046","Hunter Becker","False","Late","Good","19","Single","4"
"STU000061","Linda","Melton","CC","3008871819","2002-05-25","linda.melton@university.edu.co","Unit 8582 Box 8418, DPO AP 84157","Female","Colombia","+57","3207330185","Chemistry","Enrolled","3","55","88","3.1698847292759624","2024-12-07","Active","ADV0011","Taylor Chandler","False","Late","Average","19","Single","2"
"STU000062","Katelyn","Davis","CC","8137374535","2000-08-28","katelyn.davis@university.edu.co","7248 Amanda Inlet, Port Anne, TN 73138","Female","Argentina","+54","9981529113","History","Enrolled","6","110","68","4.31138031689539","2022-08-05","Active","ADV0046","Carolyn Murray","False","Paid","Good","16","Single","2"
"STU000063","Shaun","Andrade","CC","2552771265","2000-08-20","shaun.andrade@university.edu.co","08915 Robert Parkways, West Lisaton, AS 26541","Male","Colombia","+57","3799758799","Marketing","Enrolled","6","126","38","3.7676104927645593","2021-10-22","Active","ADV0003","Tonya Martin","False","Paid","Average","19","Single","5"
"STU000064","Dustin","Bautista","CC","4792113696","2006-11-24","dustin.bautista@university.edu.co","377 Jared Plains, Walkerborough, VI 36383","Other","Colombia","+57","3441531064","Business Administration","Enrolled","7","130","21","3.753676029527147","2022-01-14","Active","ADV0016","Joy Mitchell","False","Late","Average","17","Single","0"
"STU000065","Robert","Cross","CC","3892452872","2000-06-28","robert.cross@university.edu.co","256 Kennedy Radial, Stewartstad, WV 09661","Male","Venezuela","+58","4563527267","Finance","Suspended","6","99","45","4.2630552267589925","2022-04-13","Inactive","ADV0042","April Lara","False","Paid","Good","19","Single","2"
"STU000066","Faith","Adams","CC","2479553962","2004-06-12","faith.adams@university.edu.co","27929 Amy Tunnel, Jonesbury, IA 23762","Female","Colombia","+57","3376987542","Computer Science","Suspended","2","54","114","2.686756990741648","2022-02-07","Inactive","ADV0007","Kyle Martinez","False","Paid","Poor","16","Single","3"
"STU000067","David","Mason","CC","1017996286","2002-03-10","david.mason@university.edu.co","281 Brown Ferry Apt. 398, Rachelborough, AL 51375","Male","Colombia","+57","3116283110","Civil Engineering","Enrolled","3","40","127","3.2958440236071933","2021-05-01","Active","ADV0015","Shannon Conrad MD","False","Pending","Average","17","Single","1"
"STU000068","Jennifer","Figueroa","CC","7363069684","2005-12-12","jennifer.figueroa@university.edu.co","6223 Gonzales Junctions, Mcdonaldburgh, WY 29607","Female","Colombia","+57","3444785128","Software Engineering","Enrolled","9","160","19","3.279329026824785","2022-11-22","Active","ADV0042","Ray Tucker","False","Pending","Average","19","Single","3"
"STU000069","Linda","Perkins","CC","7096179720","2000-03-10","linda.perkins@university.edu.co","PSC 7329, Box 5814, APO AA 13297","Female","Colombia","+57","3143339530","History","Withdrawn","4","63","106","3.4860657781998756","2025-02-03","Inactive","ADV0041","Raymond Madden","False","Pending","Average","17","Single","6"
"STU000070","Carl","Owen","CC","2684081320","2000-05-26","carl.owen@university.edu.co","2979 Kimberly Springs, Krystalshire, IN 74151","Male","Colombia","+57","3804739822","Software Engineering","Suspended","7","128","13","2.713148965155235","2021-05-21","Inactive","ADV0044","Jessica Smith","False","Pending","Poor","20","Single","3"
"STU000071","Laura","Horn","CC","4648369125","2004-11-27","laura.horn@university.edu.co","91981 Mary Hill Apt. 309, Davisville, WI 73948","Female","Colombia","+57","3626335197","Nursing","Enrolled","5","86","71","3.9545675022152875","2023-10-27","Active","ADV0016","Bruce Sharp","False","Paid","Average","19","Single","3"
"STU000072","Caroline","Walsh","TI","7835529389","2008-12-14","caroline.walsh@university.edu.co","621 Kevin Walks, Virginiaburgh, MD 18821","Female","Colombia","+57","3519363153","Mechanical Engineering","Enrolled","6","92","65","2.3759933396231396","2025-03-27","Active","ADV0046","Shirley Russell","False","Late","Poor","16","Single","5"
"STU000073","Scott","Lewis","CC","7329035818","2001-07-27","scott.lewis@university.edu.co","685 Jonathan Forge, South Ernest, LA 38667","Male","Colombia","+57","3386160450","Mechanical Engineering","Enrolled","7","124","27","2.5055560006643747","2021-07-01","Active","ADV0037","Jeffrey King","False","Paid","Poor","16","Single","3"
"STU000074","Tracy","Smith","TI","8518991353","2008-01-08","tracy.smith@university.edu.co","17460 Justin Unions, Sharonfurt, WY 66568","Female","Colombia","+57","3730586436","Philosophy","Withdrawn","4","74","104","4.729070137802096","2025-02-15","Inactive","ADV0001","David Tran","True","Paid","Excellent","19","Single","3"
"STU000075","Susan","Smith","CC","6538849769","2001-10-16","susan.smith@university.edu.co","60404 Terrell Forks, Moralesborough, AL 10285","Female","Colombia","+57","3860347369","Information Technology","Enrolled","3","44","110","3.49295245501759","2022-02-17","Active","ADV0048","Alexandra Washington","False","Late","Average","15","Single","2"
"STU000076","Charlotte","Davis","CC","6882427532","2000-07-28","charlotte.davis@university.edu.co","3798 Thomas Club, South Justin, OR 01696","Female","Colombia","+57","3309801912","Chemistry","Enrolled","3","72","105","3.5319639513939176","2025-01-22","Active","ADV0026","Cathy Guzman","False","Late","Average","19","Single","2"
"STU000077","Paige","Leblanc","CC","2822636799","2000-01-25","paige.leblanc@university.edu.co","446 Cheyenne Street Apt. 308, Websterland, MD 67507","Other","Colombia","+57","3936489623","Finance","Suspended","9","161","19","2.7236073164824357","2022-01-24","Inactive","ADV0018","Mathew Anderson","False","Paid","Poor","18","Single","4"
"STU000078","James","Hodges","CC","1610036231","2006-04-05","james.hodges@university.edu.co","848 Gonzalez Shoal, Lake Donna, UT 39335","Male","Colombia","+57","3446790111","Biotechnology","Enrolled","4","72","96","3.4588126321335304","2023-05-06","Active","ADV0022","Elizabeth Rollins","False","Paid","Average","20","Married","3"
"STU000079","Bryan","Dawson","TI","8710375246","2008-02-08","bryan.dawson@university.edu.co","917 Max Road Suite 384, Nortonfurt, ME 50747","Male","Colombia","+57","3945067351","Political Science","Suspended","4","90","85","3.1858429443746976","2021-07-09","Inactive","ADV0045","Tyler Bowman","False","Late","Average","19","Single","1"
"STU000080","Adrienne","Carrillo","CC","8793413591","1999-05-19","adrienne.carrillo@university.edu.co","68771 Rachel Lock, Joelmouth, IN 43938","Female","Colombia","+57","3266008297","Economics","Enrolled","8","145","8","3.9241709309595985","2021-10-26","Active","ADV0042","Jessica Rivera","False","Late","Average","20","Single","1"
"STU000081","Emma","Kennedy","CC","6933416276","2002-09-17","emma.kennedy@university.edu.co","80390 Christine Fords, New Karenland, MI 40921","Female","Colombia","+57","3500610297","Psychology","Enrolled","6","105","74","3.9683392637775685","2023-06-06","Active","ADV0038","Mr. Matthew Sanchez","False","Pending","Average","15","Married","4"
"STU000082","Rachel","Key","CC","5871389982","2005-06-17","rachel.key@university.edu.co","3609 Nunez Mission Apt. 050, Rossview, HI 78908","Female","Colombia","+57","3448197909","Pharmacy","Enrolled","5","89","75","2.560931695966273","2022-07-03","Active","ADV0033","Victoria Johnson","False","Paid","Poor","17","Single","1"
"STU000083","William","Williams","CC","8914347888","2003-07-22","william.williams@university.edu.co","863 William Freeway, Willisberg, SD 78505","Male","Colombia","+57","3186814872","History","Enrolled","4","74","105","3.7989920886559574","2023-12-22","Active","ADV0015","Ryan Wagner","False","Paid","Average","15","Single","2"
"STU000084","Daniel","Thompson","TI","1233217270","2008-12-21","daniel.thompson@university.edu.co","71601 Shari Shoals Suite 353, Salazartown, MP 22192","Male","Colombia","+57","3488653134","Data Science","Suspended","2","51","100","2.1205106297431406","2025-01-22","Inactive","ADV0008","Felicia Knapp","False","Pending","Poor","15","Single","0"
"STU000085","Tracey","Gonzales","CC","9218686024","2006-02-19","tracey.gonzales@university.edu.co","9015 Shaffer Stream, North Jasonmouth, IA 80158","Female","Ecuador","+593","9698209575","Pharmacy","Enrolled","3","57","90","3.7603750652438355","2023-12-12","Active","ADV0033","Sydney Lawson","False","Late","Average","18","Single","6"
"STU000086","Kenneth","Figueroa","CC","4483104358","2005-01-01","kenneth.figueroa@university.edu.co","45155 Melanie Orchard, Mitchellberg, SD 09120","Other","Colombia","+57","3401436857","Electrical Engineering","Withdrawn","2","29","146","4.003301212006361","2024-06-24","Inactive","ADV0010","Ralph Gonzales","False","Paid","Good","17","Single","3"
"STU000087","Donna","Sutton","TI","8229851160","2009-03-06","donna.sutton@university.edu.co","22495 Reyes Roads, Robertstad, UT 11262","Female","Colombia","+57","3103605418","Business Administration","Withdrawn","1","27","143","3.5590944378515674","2024-07-07","Inactive","ADV0011","Kristen Madden","False","Pending","Average","17","Single","2"
